Condition Name,Condition Link,Condition Info,Symptoms,Common Symptoms,Other Symptoms,Medical History,Physical Exam,Diagnostic Test,Other Test
Polycythemia Vera,https://www.nhlbi.nih.gov/health/polycythemia-vera,"Polycythemia vera is a rare blood cancer that affects the bone marrow and causes the body to make too many red blood cells, white blood cells, or platelets.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Primary Ciliary Dyskinesia,https://www.nhlbi.nih.gov/health/primary-ciliary-dyskinesia,"Primary ciliary dyskinesia is a rare inherited disorder in which hair-like structures in the lungs, called cilia, do not work properly. This can cause lung disease.","Babies born with primary ciliary dyskinesia (PCD) may have
respiratory distress
within the first day after birth, while other people may go through life without knowing that they have the disease.
PCD affects mainly the sinuses, ears, and lungs. One sign that you might have PCD is if you have chronic (ongoing) infections, such as a wet cough and constant nasal congestion, in one or more of these areas. You may often get sinus infections and middle ear infections.
Symptoms in the body include:
Both men and women may have fertility problems, or difficulty having children.
About half of all people who have PCD have Kartagener’s syndrome, a rare condition that includes situs inversus (internal organs in a mirror image of their normal positions).
Symptoms in the sinuses include:
Chronic (long-term) nasal congestion
Runny nose with mucus and pus discharge
Chronic sinus infections
Nasal polyps
Symptoms in the ears include:
Chronic middle ear infections
Hearing loss
Symptoms in the lungs include:
Chronic cough
Respiratory distress (breathing problems) in newborns
Pneumonia
that goes away and comes back often
Atelectasis
Bronchiectasis","The symptoms of PCD and how serious they are can vary from person to person. A person who has the disease may have serious sinus, ear, or lung infections. If the disease is mild, it may not show up until the teen or adult years.
Your symptoms may also vary over time. Sometimes you may have few symptoms. Other times, your symptoms may become more serious.
Some people who have PCD have breathing problems when they are born and need
extra oxygen
for several days. Afterward, airway infections are common.
Diagnosing PCD
in children can be hard. This is because some PCD symptoms — such as ear infections, chronic cough, and runny nose — are common in children, even if they don’t have PCD. Also, the disease may be confused with another condition, such as
cystic fibrosis
.
A correct and early diagnosis of PCD is very important. It will allow you or your child to get the proper
treatment
to keep your airways and lungs as healthy as possible. An early diagnosis and proper treatment can also prevent or delay ongoing and long-term lung damage.","Make sure to report new or worsening symptoms, such as increased coughing, to your provider (or your child’s provider) right away. This will allow them to find out whether you have an infection and what’s causing it. Your provider can then prescribe medicine to prevent the infection from worsening.","Your healthcare provider or your child’s provider will diagnose primary ciliary dyskinesia (PCD) based on your
symptoms
,
family history
, and test results.","Researchers have found many
Genes
associated with PCD. Genetic testing can show whether you have faulty genes linked to the disease.
Genetic testing is done using a blood sample. The sample is taken from a vein in your body using a needle. The blood sample is checked at a special genetic testing laboratory (lab).
Couples who are planning to have children and know that they are at risk of having a child with PCD may want to meet with a genetic counselor. A genetic counselor can answer questions about the risk and explain the choices that are available.","Your healthcare provider can use a special microscope, called an electron microscope, to look at samples of your airway cilia. This test can show whether there are any problems with the structure of your cilia or how they are working.
An ear, nose, and throat (ENT) specialist or a pulmonologist (a doctor who specializes in treating conditions affecting the respiratory system, including the lungs) will take samples of your cilia. The provider will brush the inside of your nose to remove some cells from your airways. However, this test doesn’t give a final diagnosis.","Sometimes healthcare providers use one or more of the following tests to help diagnose PCD. Some of these tests are less complex than genetic testing and electron microscopy, and they can be done in a provider’s office.
Based on your test results, your provider may recommend a more complex test.
Ear, nose and throat tests:
Because ear and sinus symptoms are common in PCD, tests focused on those areas can determine if you have hearing loss or loss of your sense of smell. Exams could include pressure testing to check the eardrum for fluid buildup.
Lung function tests
:
These are a group of tests that evaluate how well the lungs work by measuring lung volume, rates of flow, and gas exchange. Lung function may be lower in people living with PCD than in those not living with the disease.
Nasal nitric oxide measurement:
This test measures the level of nitric oxide (a gas) when you breathe out. In people who have PCD, the level of nitric oxide is very low compared with normal levels. The reason for this is currently unknown.
Video microscopy:
For this test, a pulmonologist brushes the inside of your nose to get a sample of cilia. Then he or she looks at the cilia under a microscope to see how they move. Abnormal movement of the cilia may be a sign of PCD.
Radiolabeled particles:
For this test, you breathe in tiny particles that have a small, safe amount of radiation attached to them. Your provider will test how well your cilia can move the particles. If your lungs remove the particles more slowly than normal, your cilia may not be working well. This could be a sign of PCD.
Semen analysis:
This test is used for adult men. In men, PCD can affect cilia-like structures that help sperm cells move. As a result, men who have PCD may have fertility problems. For this test, a sample of semen is checked under a microscope. Sperm that don’t look normal or a low sperm count may be signs of PCD.
Chest computerized tomography (CT) or other imaging
:
This test checks for structural changes in the lung as a result of chronic infections. A thorough physical exam, followed by an
X-ray of the chest
and abdomen and
echocardiography
, will also identify most cases of situs inversus.
Your provider also might want to do tests to rule out diseases and disorders that have symptoms similar to those of PCD. For example, you may have tests to rule out
cystic fibrosis
or immune disorders."
Pulmonary Fibrosis,https://www.nhlbi.nih.gov/health/idiopathic-pulmonary-fibrosis,"Pulmonary fibrosis (PF) is a serious long-term disease that happens when the tissue surrounding the air sacs, or alveoli, in the lungs becomes thick and stiff for unknown reasons. In most cases, the cause is not known, and this is called idiopathic pulmonary fibrosis (IPF).",The symptoms of IPF develop over time. Symptoms may be different between people and may develop slowly or quickly.,"The most common symptoms are:
Shortness of breath that gets worse over time.
At first, you may be short of breath only during exercise. Over time, you may feel breathless even at rest.
A dry
cough
that gets worse.
You may have repeated bouts of coughing that you cannot control.
Other symptoms may include:
Aching muscles and joints
Clubbing
,
which is a widening and rounding of the tips of the fingers or toes
Extreme tiredness
Gradual, unintended weight loss
Generally feeling unwell
Rapid, shallow breathing",N/A,"Your doctor will diagnose IPF based on your
symptoms
, your medical and family history, your
risk factors
, and the results from tests and procedures. Idiopathic means that your doctors cannot determine a cause of your disease at the time of diagnosis. They will rule out other medical reasons or conditions that may be causing your symptoms before diagnosing you with IPF. This may be done by doing other tests and talking to specialists.
Medical history and physical exam
To help determine whether you have IPF and rule out other possible causes of lung problems, your doctor may ask about your medical history and possible risk factors.
Your doctor may look for signs
of IPF during a physical exam, such as:
Blue hands and feet
from not enough oxygen in the blood
Clubbing
of the fingers or toes
High-pitched crackles
when listening to your lungs
Diagnostic tests and procedures
To diagnose IPF, your doctor may order some of the following tests and procedures.
High resolution
chest CT scan
, or HRCT:
This is used to take pictures of the inside of your lungs and look for scarring or
inflammation
. CT scans can also help distinguish between types of lung diseases. For IPF, doctors look for a pattern where the lungs look similar to a honeycomb.
Lung
biopsy
:
This is used to see if your lung tissue shows signs of inflammation, scarring, or other changes. This procedure is sometimes used to verify the diagnosis of IPF. It usually is done by thoracoscopic surgery, in which small incisions are made and a small camera is used to direct surgical instruments.
Chest X-ray
: This is used to take pictures of the lungs and look for evidence of inflammation or damage such as scarring. An X-ray does not provide as much detail as a high-resolution CT scan.
Tests for other medical conditions
Your doctor may perform some tests and procedures to help rule out other conditions that may cause lung disorders.
Blood tests
, such as an
antibody
test:
This is used to look for signs of an
autoimmune
disease that can cause lung scarring.
Bronchoalveolar lavage (BAL):
This is used to look at the types of cells in your lung fluid. Sometimes it may be used when the types of cells can help distinguish between IPF and other lung diseases.
Lung function tests
:
This is used to see if you show signs of reduced breathing capacity or abnormal blood oxygen levels. These tests help assess the severity of your lung disease, and they can help monitor whether your condition is stable or worsening over time.
genetics
testing:
This is used to see if you have
mutations
, or changes in your
Genes
, that can raise your risk of IPF. You may need this test if you have a family history of
interstitial lung disease
or signs of early aging.",N/A,N/A,N/A
Pulmonary Hypertension,https://www.nhlbi.nih.gov/health/pulmonary-hypertension,Pulmonary hypertension occurs when the pressure in the blood vessels that carry blood from the heart to the lungs is higher than normal. This makes the heart have to work harder to pump blood into the lungs.,"Symptoms of pulmonary hypertension are sometimes hard to recognize. People may have symptoms for years before being diagnosed. This is because many symptoms of pulmonary hypertension are also symptoms of other medical conditions.
Some symptoms of pulmonary hypertension include:
Chest pain
Coughing
that is dry or produces blood
Shortness of breath
Dizziness
that may lead to fainting
Nausea and vomiting
Hoarseness
Fatigue
Swelling
of the abdomen, legs, or feet
Weakness
Wheezing,
which is a whistling sound when you breathe out
Symptoms can get worse over time. For example, in the early stages of pulmonary hypertension, you may only have shortness of breath with exercise. As the disease progresses, shortness of breath will occur more often.","If you experience chest pain and shortness of breath, seek emergency medical care. This may be a
sign of a heart attack
or a blood clot in your lungs (
pulmonary embolism
).",N/A,"To diagnose pulmonary hypertension, your doctor may ask you questions about your medical history and do a physical exam. Based on your
symptoms
and
risk factors
, your doctor may refer you to a lung specialist (pulmonologist) or a heart and blood vessel specialist (cardiologist). Your doctor will diagnose you with pulmonary hypertension if tests show higher-than-normal pressure in the arteries of the lungs (pulmonary arteries).","Your doctor may ask you about any symptoms you have been experiencing and any risk factors such as other medical conditions you have.
Your doctor will also perform a physical exam to look for signs that may help diagnose your condition. As part of this exam, your doctor may do the following:
Check whether the oxygen levels in your blood are low. This may be done by pulse oximetry, in which a probe is placed on your finger to check your oxygen levels.
Feel your liver to see if it is larger than normal.
Listen to your heart to see if there are changes in how it sounds, and also to find out if your heartbeat is faster than normal or irregular or if you have a new heart murmur.
Listen to your lungs for sounds that could be caused by
heart failure
or
interstitial lung disease
.
Look at the veins in your neck to see if they are larger than normal.
Look for swelling in your abdomen and legs that may be caused by fluid buildup.
Measure your blood pressure.","There are many tests that doctors can use to tell if you have pulmonary hypertension.
The most common tests to measure the pressure in your pulmonary arteries are
cardiac catheterization
and
echocardiography
. Normal pressure in the pulmonary arteries is between 11 and 20 millimeters of mercury (mm Hg). If the pressure is too high, you may have pulmonary hypertension. A pressure of 25 mm Hg or greater measured by cardiac catheterization or 35 to 40 mm Hg or greater on echocardiography suggests pulmonary hypertension.
Other tests may include:
Blood tests
look for blood clots, stress on the heart, or anemia.
Heart imaging tests
,
such as cardiac MRI, take detailed pictures of the structure and functioning of the heart and surrounding blood vessels.
Lung imaging tests
,
such as chest X-ray, looks at the size and shape of the heart and surrounding blood vessels, including the pulmonary arteries.
Electrocardiogram (ECG or EKG)
looks for changes in the electrical activity of your heart. This can help detect if certain parts of the heart are damaged or working too hard. In pulmonary hypertension, the heart can become overworked due to damage or changes in the pulmonary arteries.","Your doctor may order additional tests to see whether another condition or medicine may be causing your pulmonary hypertension. Doctors can use this information to develop your
treatment plan
."
Pulmonary Rehabilitation,https://www.nhlbi.nih.gov/health/pulmonary-rehabilitation,Pulmonary rehabilitation is a supervised program that helps improve lung function and quality of life in people who have certain lung conditions or after a lung transplant.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Respiratory Distress Syndrome (RDS),https://www.nhlbi.nih.gov/health/respiratory-distress-syndrome,Respiratory distress syndrome is a common breathing disorder that makes it difficult for newborns to get enough oxygen. It mostly affects newborns who are born too early and whose lungs are not yet fully developed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Respiratory Failure,https://www.nhlbi.nih.gov/health/respiratory-failure,Respiratory failure is a serious condition that makes it difficult to breathe on your own. Your lungs also can’t get enough oxygen into your blood.,N/A,N/A,N/A,"Chronic obstructive pulmonary disease (COPD) is a long-term lung disease. Watch this video to see Antonello Punturieri, MD, demonstrate how to take a simple lung test that doctors use to diagnose COPD.",N/A,N/A,N/A
Sarcoidosis,https://www.nhlbi.nih.gov/health/sarcoidosis,"Sarcoidosis is a condition that develops when groups of cells in the immune system form red and swollen lumps, called granulomas, in various organs in the body.","Many people who have sarcoidosis have no symptoms, or they may feel unwell but without any obvious symptoms. Others may be depressed, feel very tired, or have a general feeling of discomfort. You may also faint or have unexplained weight loss.","Lofgren’s syndrome is a classic set of symptoms of sarcoidosis that includes:
Swollen
lymph nodes
in your chest, neck, chin, armpits, or groin
A rash of small, itchy, or painful bumps called
erythema nodosum
that most commonly appear on your head, neck, or legs
Blurred vision, eye pain or redness, light sensitivity, or watery eyes
Joint pain, stiffness, or swelling
Fever
Some people have Lofgren’s syndrome when they first develop sarcoidosis. This is most common in women between ages 30 and 40. It usually goes away completely within 2 years.","If you have sarcoidosis in the lungs, you may experience these symptoms:
Wheezing
Coughing
Shortness of breath
Chest pain
However, you can have sarcoidosis in the lungs without these symptoms. For example, skin rashes or sores can include erythema nodosum (explained above) or lupus pernio. Lupus pernio causes skin sores that usually affect the face, especially the nose, cheeks, lips, and ears. These sores usually last a long time. Lupus pernio affects African American people more often than other groups.","Sarcoidosis is diagnosed based on your symptoms, a physical exam, and imaging tests or a biopsy. Before diagnosing you with sarcoidosis, your healthcare provider will rule out other possible conditions.","Doctors use stages to describe sarcoidosis of the lung or lymph nodes of the chest. The stages are based on where the lumps, or granulomas, are found and whether there is scarring on imaging tests. Stage IV is the most serious and means you have permanent scarring in the lungs.","Bring a list of
symptoms
with you to your appointment. Tell your provider if you live or work near insecticides or mold or have other
risk factors
for sarcoidosis. During the physical exam, your provider may:
Check your temperature.
Check to see if your lymph nodes, spleen, or liver are swollen.
Listen to your chest with a stethoscope as you breathe in and out.
Look for rashes or sores on your body, such as scalp and lower legs.","There are no screening tests to determine who will develop sarcoidosis. If you are at risk for sarcoidosis, your provider may talk to you about trying to avoid certain substances in your environment that can trigger granulomas.
Your healthcare provider may have you undergo certain tests and procedures to diagnose sarcoidosis.
Chest X-rays
look for granulomas or scarring in the lungs and heart. This will also help figure out the stage of the disease. Often, sarcoidosis is found because a chest X-ray is done for another reason.
biopsy
of the skin, lymph nodes, lungs, or other affected organs may help confirm your sarcoidosis diagnosis. Your doctor will do a
bronchoscopy
to get the biopsy sample from your lungs or lymph nodes in your chest.
Blood tests
check your blood counts, hormone levels, and how well your kidneys are working.
Other imaging tests
look for granulomas or inflammation in the heart, eyes, lymph nodes, or other areas. These may include
magnetic resonance imaging (MRI)
or an ultrasound.
The tests below look at how sarcoidosis is affecting the body.
Neurological tests
,
such as electromyography, evoked potentials, spinal taps, or nerve conduction tests, look for problems with the nervous system caused by sarcoidosis.
Eye exams
look for eye damage, which can occur without symptoms in a person with sarcoidosis.
Lung function tests
check whether you have breathing problems.
Heart tests
monitor how well your heart is working. Sarcoidosis only rarely affects the heart, but cardiac sarcoidosis may be life threatening. Tests may include electrocardiography (ECG or EKG), echocardiography, or cardiac MRI."
Sickle Cell Disease,https://www.nhlbi.nih.gov/health/sickle-cell-disease,Sickle cell disease causes the red blood cells to have a sickle or crescent shape instead of a disc shape. The sickle-shaped cells can block blood vessels and lead to serious health problems.,"Sickle cell disease is an
inherited
disease, which means you are born with it. However, most babies do not have problems from the disease before they are about 5 or 6 months old.
Symptoms of sickle cell disease vary from person to person and can change over time.
How the disease affects your body
affects the type of symptoms you have.
People who
inherit
only one copy of the
hemoglobin
S gene have
sickle cell trait
. They usually don’t have symptoms of sickle cell disease. As carriers, they can pass the faulty gene to their children.
A person’s hemoglobin
genes
also affect symptoms. Some people have only one copy of the hemoglobin S gene, but they also inherited another faulty hemoglobin gene, such as the gene for
thalassemia
. They may have serious symptoms of sickle cell disease even though they only have one hemoglobin S gene.
FACT SHEET
Sickle Cell Disease Fact Sheet
Learn basics about sickle cell disease, including symptoms, how to prevent health problems and treatment options.
Download the fact sheet","A yellowish color
of the skin (
jaundice
) or whites of the eyes (icterus) that occurs when many red cells undergo
hemolysis
Extreme tiredness or fussiness
from anemia, which occurs when your body does not get enough oxygen because of a shortage of healthy red blood cells
Painful swelling of the hands and feet
, known as
dactylitis","Know when to seek emergency medical care
Serious symptoms of sickle cell disease are emergencies and need treatment right away. Seek care or call 9-1-1 if you or someone else is experiencing:
Severe pain.
A serious pain event is sometimes called a “pain crisis,” “sickle cell crisis,” or “vaso-occlusive crisis.” Most people with sickle cell disease have this often-serious pain. It may occur in children as young as 1 year old. Serious pain linked with sickle cell disease often requires treatment in a clinic or hospital.
Fatigue
(extreme tiredness), shortness of breath, dizziness, and irregular heartbeat.
These are symptoms of serious anemia. Life-threatening anemia can be caused
by conditions such as a
splenic sequestration crisis
crisis or an
aplastic crisis
.
Fever.
If you have a fever of more than 101.3 degrees Fahrenheit, or 38.5 degrees Celsius, seek attention from a healthcare provider and treatment with antibiotics right away. Some people need to be hospitalized for care.
Chest pain, coughing, fever, and shortness of breath.
These symptoms may be suggestive of acute chest syndrome requiring treatment in a hospital, where you may receive antibiotics,
oxygen therapy
, and/or a
blood transfusion
.
Sudden weakness, numbness on one side of the body, confusion, or trouble speaking, seeing, or walking.
Call 9-1-1 if you’re showing any of these warning signs of a
stroke
.
Priapism.
Having an erection that lasts for 4 hours or more is an emergency. You will need to go to the hospital and see a hematologist (a doctor who specializes in blood conditions and diseases) and a urologist (a doctor who specializes in treating conditions of the reproductive and urinary systems). Priapism can lead to
erectile dysfunction
, so it is important to get treatment as soon as possible.
Learn more about these and other
complications of sickle cell disease
.
FACT SHEET
Tips to Manage Your Pain From Sickle Cell Disease
Learn about pain management and how you can prevent serious problems associated with sickle cell disease.
View fact sheet","If you or your child has
symptoms of sickle cell disease
, your healthcare provider may use a number of tests to diagnose the condition. If your child’s initial newborn screening results show they may have sickle cell disease or trait, further testing can confirm the diagnosis.
Today's Faces of Sickle Cell Disease: Cassandra Trimnell
In 1987, Cassandra Trimnell became the first child in Iowa to be diagnosed with sickle cell disease through the state’s newborn screening program.
Read Cassandra’s story.","If you do not know whether you have sickle cell trait or disease, you can find out by having a blood test. Blood tests can determine if your body makes the hemoglobin S protein and how much. Gene testing can tell if you have one or two copies of the hemoglobin S gene. Similar tests can also look for other abnormal hemoglobin types. Genetic tests can help confirm a sickle cell disease diagnosis if results from blood tests are not clear. Some people who have sickle cell disease have one gene for sickle hemoglobin and another gene for a different type of faulty hemoglobin that causes diseases such as
thalassemia
. Genetic testing or blood tests can check for these conditions.","Healthcare providers can also diagnose sickle cell disease before a baby is born. This can be done in two ways. The first uses a sample of amniotic fluid (the liquid in the sac surrounding a growing embryo). The second uses a sample taken from the placenta (the organ that attaches the umbilical cord to the womb).
Testing before birth can be done as early as 8 to 10 weeks into the pregnancy. This testing looks for the sickle hemoglobin gene rather than the abnormal hemoglobin itself. This testing cannot tell you how serious the disease symptoms will be.","Newborn screening
In newborn screening programs, healthcare providers prick the heel of the newborn and collect drops of blood on a special card. A lab tests the hemoglobin in the sample and sends the test results to the provider who ordered the test and to your child’s healthcare provider. The most commonly used tests are high-performance liquid chromatography (HPLC), capillary electrophoresis (CE) and isoelectric focusing (IEF).
Providers from a special follow-up newborn screening team will contact you directly if your child has sickle cell disease. Your child’s providers will then retest your child to confirm the diagnosis. They may also recommend genetic testing.
Newborn screening programs also find out whether your baby has
sickle cell trait
and is a carrier of the hemoglobin S gene. If this is the case, genetic counseling will be offered. Remember that when a child has sickle cell trait or sickle cell disease, their future siblings or your child’s future children may be a carrier of the hemoglobin S gene.
Newborn Screening Programs
All 50 states have newborn screening programs. As a result, nearly all newborns in the United States are screened for sickle cell disease and other treatable disorders. Many other countries have similar programs.
Learn about newborn screening programs in the United States."
Sleep Apnea,https://www.nhlbi.nih.gov/health/sleep-apnea,Sleep apnea is a common condition in which your breathing stops and restarts many times while you sleep. This can prevent your body from getting enough oxygen.,"While asleep, you may have these symptoms of sleep apnea:
Breathing that starts and stops
Frequent loud snoring (more common in men)
Gasping for air
You may not know you have these symptoms until someone tells you. Or you may notice the following symptoms yourself:
Daytime sleepiness and tiredness, which can lead to problems with learning, focusing, and reacting
Dry mouth
Fatigue (more common in women)
Headache (more common in women)
Insomnia (more common in women)
Sexual dysfunction or decreased libido
Waking up often during the night to urinate
Children who have sleep apnea may be overactive and may experience bedwetting, worsening
asthma
, and trouble paying attention in school. Visit
Sleep Apnea in Children
to learn more.
Talk to your healthcare provider about your symptoms. You may need a
sleep study
to help
diagnose the condition
.
FACT SHEET
Sleep Fact Sheet
Learn some sleep terms and find out about treatments that can help with sleep apnea.
View the fact sheet",N/A,N/A,N/A,N/A,N/A,N/A
Sleep Deprivation and Deficiency,https://www.nhlbi.nih.gov/health/sleep-deprivation,Sleep deprivation and deficiency are conditions that occur when you don't get enough good quality sleep when your body needs it. This can lead to physical and mental health problems.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sleep Disorder Treatments,https://www.nhlbi.nih.gov/health/sleep-disorder-treatments,Learn about tips for healthy sleep and the different ways to treat sleep disorders.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sleep Studies,https://www.nhlbi.nih.gov/health/sleep-studies,"Sleep studies, also called polysomnography, are tests that measure how well you sleep and how your body responds to sleep problems.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Smoking and Your Heart,https://www.nhlbi.nih.gov/health/heart/smoking,Cigarette smoking causes about 1 in every 5 deaths in the United States each year. Smoking harms nearly every organ in the body and raises your risk of heart and blood vessel diseases.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stents,https://www.nhlbi.nih.gov/health/stents,"A stent is a small mesh tube that holds open passages in the body, such as weak or narrow arteries or airways.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stroke,https://www.nhlbi.nih.gov/health/stroke,A stroke happens when blood flow to the brain is blocked. This prevents the brain from getting oxygen and nutrients from the blood.,"The signs and symptoms of a stroke often occur quickly. However, they can develop over hours or even days. This sometimes happens when a transient ischemic attack (TIA) — a blockage that breaks up before it damages your brain — turns into a stroke.
The type of symptoms depends on the type of stroke and the area of the brain that is affected.
This animation discusses symptoms of stroke, also described below.
Medical Animation Copyright © 2023 Nucleus Medical Media, All rights reserved.
Signs of a TIA or stroke may include:
Sudden confusion, trouble speaking, or trouble understanding speech
Sudden numbness or weakness, especially on one side of the body
Sudden severe headache with no known cause
Sudden trouble seeing from one or both eyes
Sudden trouble walking, dizziness, or loss of balance or coordination
The FAST test can help you remember what to do if you think someone is having a stroke.
F — Face:
Ask the person to smile. Does one side of the face droop?
A — Arms:
Ask the person to raise both arms. Does one arm drift downward?
S — Speech:
Ask the person to repeat a simple phrase. Is their speech slurred or strange?
T — Time:
If you observe any of these signs,
call 9-1-1 right away.
Early treatment is essential.
If you think you or someone else may be having a TIA or stroke, do not drive to the hospital or let someone else drive you. Call an ambulance so that medical personnel can begin lifesaving treatment on the way to the emergency room. During a stroke,
every minute counts.","A stroke can cause lasting brain damage, long-term disability, or death. When you have a stroke, your doctor may rate how serious it is. A serious stroke means more brain was damaged. When there is significant damage, your doctor may call it a massive stroke. This can mean there may be severe complications.
After a stroke, you may develop complications.
Dangerous blood clots may form.
Being unable to move around for a long time can raise your risk of
developing blood clots
in the deep veins of the legs. In some cases, blood clots can break loose and travel to the lungs. Your stroke team may try to prevent these complications with medicine or a device that puts pressure on your calves to keep your blood flowing.
Loss of bladder or bowel control can occur.
Some strokes affect the muscles needed to urinate and have bowel movements. You may need a urinary catheter (a tube placed into the bladder) until you can urinate on your own. Use of these catheters can lead to urinary tract infections. You may also lose control of your bowels or be constipated.
Loss of bone density or strength is also common.
This usually happens on one side of the body. Making physical activity part of your rehabilitation can help prevent this loss. Your care team may also watch closely for
osteoporosis
.
Muscle weakness or inability to move may also occur.
A stroke can make your muscles become weak and stiff or cause them to spasm. This can be painful or make it hard to stand or walk around on your own. You may also have problems with balance or controlling your muscles. This puts you at risk of falling.
Problems with language, thinking, or memory are another possible complication.
Stroke may affect your ability to focus on a task or make decisions quickly. It also raises the risk of
dementia
.
Seizures can occur.
This is more common in the weeks after a stroke and is less likely as time goes on. If you have seizures, your stroke team may give you medicine to try to control them.
Swelling in the brain is also possible.
After a stroke, fluid may build up between the brain and the skull or in the cavities of the brain, causing swelling. Doctors may drain fluid from the brain or cut away part of the skull to relieve the pressure the fluid puts on your brain.
You may experience loss of vision, hearing, or touch.
Your ability to feel pain or temperature may be affected after a stroke, or you may have trouble seeing or hearing as well as before. Some of these changes could affect your ability to cook, read, change your clothes, or do other tasks.
You may experience problems swallowing and
pneumonia
.
If a stroke affects the muscles used for swallowing, you may have a hard time eating or drinking. You may also be at risk of inhaling food or drink into your lungs. If this happens, you may develop pneumonia.
You may have difficulty speaking.
If a stroke affects the muscles you use to speak, you may have trouble communicating as easily as before.",N/A,"Your doctor will diagnose a stroke based on your
symptoms
, your medical history, a physical exam, and test results. Your healthcare provider will want to find out the type of stroke you have had, its cause, the part of the brain that is affected, and whether you have bleeding in the brain. If your doctor thinks you have had a transient ischemic attack (TIA), they will look for the cause to try to prevent a future stroke.","Your healthcare provider will order tests to help rule out other health problems with similar signs or symptoms.
Imaging tests look at the blood vessels in your brain. These images will help determine what type of stroke you had and exactly where it happened in your brain. The faster these tests can be done, the better your doctor can diagnose and treat you. There are several imaging tests used to diagnose stroke.
Computed tomography (CT)
uses X-rays to take clear, detailed pictures of your brain. It is often done right after a suspected stroke. A brain CT scan can show whether there is bleeding in the brain or damage to the brain cells from a stroke.
Magnetic resonance imaging (MRI)
uses magnets and radio waves to create pictures of your brain. An MRI may be used instead of — or in addition to — a CT scan to diagnose a stroke. This test can identify changes in brain tissue and damage to brain cells.
Other imaging tests
may include digital subtraction angiography (DSA) and
positron emission tomography (PET)
to look for narrowed blood vessels in the neck, an
aneurysms
, or an arteriovenous malformation (AVM, or tangled blood vessels) in the brain.
Your doctor may also order other tests.
Blood tests
will test the red blood cell and platelet count and glucose (sugar) levels in your blood to make sure they are stable. These tests can also help determine whether a specific medicine can treat your stroke. Your doctor may also do blood tests to see how well your blood is clotting and to look for muscle damage.
Electrocardiogram (EKG)
can help find heart problems that may have led to a stroke. For example, this test can help diagnose
atrial fibrillation
or a previous
heart attack
.
Lumbar puncture (also called a spinal tap)
may be used if the imaging scan does not find any bleeding in the brain but your provider still thinks you may have had a hemorrhagic stroke. In this test, a needle is used to collect fluid from around your spine. The fluid is tested for substances that come from damaged blood cells.","Your doctor will ask you or a family member about your
risk factors
for stroke. Tell your provider if you or someone in your family has had a stroke. Your provider will also ask about your signs and symptoms and when they began. During a physical exam, your provider will check you for the following:
Confusion
Coordination and balance
Mental alertness
Numbness or weakness in your face, arms, and legs
Trouble speaking or seeing clearly
The exam helps your provider determine how severe your stroke was and plan treatment.
Your doctor will look for signs of carotid artery disease, a common cause of ischemic stroke. They will listen to your
Carotid artery
with a stethoscope. A whooshing sound called a bruit may suggest changed or lowered blood flow from
plaque
buildup in the carotid arteries.",N/A
Tests for Lung Disease,https://www.nhlbi.nih.gov/health/lung-tests,Learn about different tests used to diagnose lung diseases and conditions.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
